run_name,member,env,policy,lr,gamma,batch_size,eps_start,eps_end,eps_fraction,timesteps,final_ep_rew_mean,final_ep_len_mean,train_seconds,model_path
winston_lr1e-03_mlp,winston,ALE/Pong-v5,mlp,0.001,0.99,32,1.0,0.05,0.1,500000,-20.88,3207.88,1196.9,models/dqn_model_winston_lr1e-03_mlp.zip
winston_lr1e-03_cnn,winston,ALE/Pong-v5,cnn,0.001,0.99,32,1.0,0.05,0.1,500000,-20.88,3206.6,1684.2,models/dqn_model_winston_lr1e-03_cnn.zip
winston_lr3e-04_mlp,winston,ALE/Pong-v5,mlp,0.0003,0.99,32,1.0,0.05,0.1,500000,-20.64,3642.58,1193.9,models/dqn_model_winston_lr3e-04_mlp.zip
winston_lr3e-04_cnn,winston,ALE/Pong-v5,cnn,0.0003,0.99,32,1.0,0.05,0.1,500000,-20.9,3182.23,1694.8,models/dqn_model_winston_lr3e-04_cnn.zip
winston_lr1e-04_mlp,winston,ALE/Pong-v5,mlp,0.0001,0.99,32,1.0,0.05,0.1,500000,-20.92,3171.76,1210.6,models/dqn_model_winston_lr1e-04_mlp.zip
winston_lr1e-04_cnn,winston,ALE/Pong-v5,cnn,0.0001,0.99,32,1.0,0.05,0.1,500000,-20.88,3210.27,1741.3,models/dqn_model_winston_lr1e-04_cnn.zip
winston_lr3e-05_mlp,winston,ALE/Pong-v5,mlp,3e-05,0.99,32,1.0,0.05,0.1,500000,-20.94,3225.86,1347.7,models/dqn_model_winston_lr3e-05_mlp.zip
winston_lr3e-05_cnn,winston,ALE/Pong-v5,cnn,3e-05,0.99,32,1.0,0.05,0.1,500000,-15.86,7598.88,1827.5,models/dqn_model_winston_lr3e-05_cnn.zip
smoketest_01,smoketest,ALE/Pong-v5,cnn,0.0001,0.99,32,1.0,0.05,0.1,2000,,,46.1,models\dqn_model_smoketest_01.zip
smoketest_02,smoketest,ALE/Pong-v5,cnn,0.0001,0.99,32,1.0,0.05,0.1,1000,-21.0,3056.0,11.3,models\dqn_model_smoketest_02.zip
smoketest_mlp,smoketest,ALE/Pong-v5,mlp,0.0001,0.99,32,1.0,0.05,0.1,500,-21.0,3056.0,1.9,models\dqn_model_smoketest_mlp.zip
winston_lr1e-05_mlp,winston,ALE/Pong-v5,mlp,1e-05,0.99,32,1.0,0.05,0.1,500000,-20.76,3224.96,1322.7,models/dqn_model_winston_lr1e-05_mlp.zip
winston_lr1e-05_cnn,winston,ALE/Pong-v5,cnn,1e-05,0.99,32,1.0,0.05,0.1,500000,-20.53,3517.95,1678.3,models/dqn_model_winston_lr1e-05_cnn.zip
david_eps_baseline,david,ALE/Pong-v5,cnn,0.0001,0.99,32,1.0,0.05,0.1,500000,-20.86,3228.96,19715.6,models\dqn_model_david_eps_baseline.zip
david_eps_baseline,david,ALE/Pong-v5,cnn,0.0001,0.99,32,1.0,0.05,0.1,500000,-20.9,3234.19,19723.7,models\dqn_model_david_eps_baseline.zip
david_eps_fast_decay,david,ALE/Pong-v5,cnn,0.0001,0.99,32,1.0,0.05,0.05,500000,-18.75,7020.53,1755.3,/content/drive/MyDrive/Formative_3_Deep_Q_Learning/models/dqn_model_david_eps_fast_decay.zip
david_eps_slow_decay,david,ALE/Pong-v5,cnn,0.0001,0.99,32,1.0,0.05,0.3,500000,-20.86,3213.52,1713.1,/content/drive/MyDrive/Formative_3_Deep_Q_Learning/models/dqn_model_david_eps_slow_decay.zip
david_eps_very_slow,david,ALE/Pong-v5,cnn,0.0001,0.99,32,1.0,0.05,0.5,500000,-20.88,3185.78,1620.6,/content/drive/MyDrive/Formative_3_Deep_Q_Learning/models/dqn_model_david_eps_very_slow.zip
david_eps_low_end,david,ALE/Pong-v5,cnn,0.0001,0.99,32,1.0,0.01,0.1,500000,-17.0,7134.47,1799.0,/content/drive/MyDrive/Formative_3_Deep_Q_Learning/models/dqn_model_david_eps_low_end.zip
david_eps_high_end,david,ALE/Pong-v5,cnn,0.0001,0.99,32,1.0,0.1,0.1,500000,-18.53,7368.86,1732.8,/content/drive/MyDrive/Formative_3_Deep_Q_Learning/models/dqn_model_david_eps_high_end.zip
david_eps_mid_start,david,ALE/Pong-v5,cnn,0.0001,0.99,32,0.5,0.05,0.1,500000,-18.94,6398.61,1771.8,/content/drive/MyDrive/Formative_3_Deep_Q_Learning/models/dqn_model_david_eps_mid_start.zip
david_eps_low_start,david,ALE/Pong-v5,cnn,0.0001,0.99,32,0.2,0.05,0.1,500000,-17.74,6509.6,1753.3,/content/drive/MyDrive/Formative_3_Deep_Q_Learning/models/dqn_model_david_eps_low_start.zip
